"","product_id","flower","variety","days_to_germination","sowing","light_preference","soil_requirements","plant_spacing","hardiness_zones","harvest","uses","scientific_name","alternate_names","plant_height","soil","alternate_name","p_h","tips","transplant","direct_seed","dried","stem_length","scientific_names","vase_life","notes","pelleted_seed","direct_seed_recommended","fresh","note","cut_flowers","edible","soil_requirements_2","uses_2","growing_on","scientific_na_me","light_requirements","use","pods","edible_flowers","special_instructions","disease","note_in_hardiness_zones_9_10","planting_bulbs","storage_temperature","alternate_common_names","selection","store_bulbs_if_you_cant_plant_right_away","note_on_tulips_in_hardiness_zones_8_10","mulch","inspecting_your_bulbs","pests_and_diseases","x","light_preferences"
"270","974","Rue","RueHerb Seed","10-14 days.","Transplant (recommended): Sow seeds 1/4- 3/8"" deep in cells or flats about 7 weeks before the last frost. Keep moist and warm, 60-70°F (16-21°C). When large enough to handle, thin or transplant to larger cells. Grow inside until several inches tall, and then transplant outside to rows that are 18"" apart, placing seedlings 12"" apart in the North and 24"" apart in the South. Direct seed: In the spring, sow 6-12 seeds per foot, 1/4- 3/8"" deep, in rows that are 18"" apart, and later to a final spacing of 12-24"" apart. Keep well weeded until the plants are large enough to compete well with the weeds.","Sun.","Any well-drained or sandy soil with a pH of 5.8-8.0.","12-24"".","Zones 4-9.","Harvest before it comes into flower. Rue should not be taken internally without consulting a qualified medical practitioner, as it can be highly toxic. Consumption may be especially dangerous to pregnant women.",NA,"Ruta graveolens",NA,"24-36"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prune annually in the early spring, after the new shoots start breaking. Self-sows readily. Rue can also be started by stem cuttings or root division in the spring.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","1775","Salvia","Victoria BlueSalvia Seed","5–12 days at 75–78°F (24–26°C).","Transplant (recommended): Sow 6–8 weeks before last frost. Gently press seed 1/4"" deep into soil but do not cover, as light is required for germination. Bottom-water or mist to avoid covering seed with displaced soil. Transplant into cell packs or larger containers at the second true leaf stage. Harden off and transplant outside after the last frost. Direct seed: Sow in clumps of 3–4 seeds, 1/4"" deep.","Sun/Part Shade.","Average soil.","12"".","Gruppenblau and Victoria Blue: Perennial in Zones 8–10, but best grown as an annual.","Gruppenblau and Victoria Blue: For harvest either as a fresh or dried flower, harvest when the bottom 3–4 flowers have opened. Hang to dry.","Long-lasting cut flower, and can also be dried. Excellent in beds, borders, containers, and planted en masse.","Salvia farinacea.","Mealy blue sage, mealy sage, mealycup sage, blue salvia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","3703","Saponaria","Pink BeautySaponaria Seed","7-10 days at 70°F (21°C).","Performs best in areas with cool summers. Sow at 2-3 week intervals until midsummer for continuous bloom. Blooms July to August. Direct seed (recommended) - Sow in early spring when the soil is cool and a light frost is still possible. Sow 2-3 seeds every 2"", 1/8"" deep. Thin to stand 2-9"" apart when the first true leaves appear. Transplant - Sow directly into 72-cell plug flats, 2-3 seeds per cell, 2-3 weeks before last frost. Lightly cover seed. Thin to 1 plant per cell. harden off and transplant outdoors after last frost.","Sun.","Average, well-drained soil.","2-9"".","Annual.","When 1-2 flowers in a spray are open.","Excellent cut-flower filler. Cottage gardens.","Vaccaria hispanica","Soapwort, cow soapwort",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","3704","Saponaria","White BeautySaponaria Seed","7-10 days at 70°F (21°C).","Performs best in areas with cool summers. Sow at 2-3 week intervals until midsummer for continuous bloom. Blooms July to August. Direct seed (recommended) - Sow in early spring when the soil is cool and a light frost is still possible. Sow 2-3 seeds every 2"", 1/8"" deep. Thin to stand 2-9"" apart when the first true leaves appear. Transplant - Sow directly into 72-cell plug flats, 2-3 seeds per cell, 2-3 weeks before last frost. Lightly cover seed. Thin to 1 plant per cell. harden off and transplant outdoors after last frost.","Sun.","Average, well-drained soil.","2-9"".","Annual.","When 1-2 flowers in a spray are open.","Excellent cut-flower filler. Cottage gardens.","Vaccaria hispanica","Soapwort, cow soapwort",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","4135G","Scabiosa (Pincushion Flower)","Pincushion MixOrganic Scabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","4136G","Scabiosa (Pincushion Flower)","Black BeautyOrganic Scabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","1999","Scabiosa (Pincushion Flower)","Pincushion Formula MixScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","3785","Scabiosa (Pincushion Flower)","StarflowerScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","1724","Scabiosa (Pincushion Flower)","Black KnightScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","3666","Scabiosa (Pincushion Flower)","Fata MorganaScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","3716","Scabiosa (Pincushion Flower)","Salmon RoseScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","1760","Scabiosa (Pincushion Flower)","Fama WhiteScabiosa Seed","10-12 days at 65-70°F (18-21°C).","Transplant (recommended): Sow 6-8 weeks before last frost. Barely cover seeds as light is required for germination. Transplant to cell packs when the first true leaves appear. In the greenhouse, grow transplants at 60-65°F (16-21°C). Lower temperatures can cause premature flowers and poor garden performance. Harden off and transplant outside after the last frost. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained soil.","12-18"".","Zones 3-7. Plants will live about 3 years.","Fresh: When flowers are at bud stage or half open.","Excellent cut flower. Backs of beds, borders, or in containers.","Scabiosa caucasica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","3717","Scabiosa (Pincushion Flower)","SnowmaidenScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","1761","Scabiosa (Pincushion Flower)","Fama Deep BlueScabiosa Seed","10-12 days at 65-70°F (18-21°C).","Transplant (recommended): Sow 6-8 weeks before last frost. Barely cover seeds as light is required for germination. Transplant to cell packs when the first true leaves appear. In the greenhouse, grow transplants at 60-65°F (16-21°C). Lower temperatures can cause premature flowers and poor garden performance. Harden off and transplant outside after the last frost. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained soil.","12-18"".","Zones 3-7. Plants will live about 3 years.","Fresh: When flowers are at bud stage or half open.","Excellent cut flower. Backs of beds, borders, or in containers.","Scabiosa caucasica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","3715","Scabiosa (Pincushion Flower)","Fire KingScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","3379","Scabiosa (Pincushion Flower)","Merlot RedScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","3714","Scabiosa (Pincushion Flower)","Oxford BlueScabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","3379G","Scabiosa (Pincushion Flower)","Merlot RedOrganic Scabiosa Seed","10-12 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support.","Sun.","Rich, well-drained soil.","9-15"".","Annual.","Scabiosa atropurpurea: Flowers almost fully open. Scabiosa stellata: Fresh-cut or dried: Harvest when seed heads are light green with dark-bronze edges and the star-shaped centers are just turning black. If harvested after the centers have fully turned, or begun to fall out, the seed head will shatter and will not be useful.","Excellent cut flower. Back of beds and borders.","Scabiosa atropurpurea, Scabiosa stellata",NA,"24-36"". Plant supports (such Hortonova used as a horizontal trellis) are required.",NA,"Mourning bride, drumstick flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","1000","Scarlet Runner Bean","Scarlet Runner BeanFlower Seed","4-7 days at 60-70°F (16-21°C).","Transplant: Sow 2-3 weeks before last frost. Plant 2 seeds 1"" deep in individual cell packs or containers. Thin to one plant per cell or pot. Harden off and transplant outside after the last frost.","Sun.","Fertile soil with high levels of humus.","4-8"".","Annual.","Edible flowers: Harvest when the flower show strong color, as buds or as fully open flowers. Unopened buds can be stored in the refrigerator for 2-3 days on slightly damp towel in covered container. Open flowers should be used immediately. To encourage continued flowering keep the beans picked.","Edible flower. For covering arbors, walls, and fences.","Phaseolus coccineus",NA,NA,NA,NA,NA,NA,NA,"After last frost, when the soil temperature is at least 60°F (16°C), sow about 6 seeds per foot, 1"" deep. When seedlings have true leaves, thin to 4-8"" apart. Use a nitrogen-fixing inoculant for increased flowering and bean yields. Trellis or other support is necessary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","4092","Snapdragon","Costa Silver(F1) Snapdragon Seed","7-14 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Light is required for germination, but a fine layer of vermiculite covering the seeds can maintain moisture levels and prevent algae growth. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear, approximately 3-4 weeks after sowing. If desired, for a bushier plant that produces more flower-producing side branches, pinch young plants back by half their height when plants have formed 4-6 leaves or are approximately 3-4 inches tall. Pinching will delay the crop time by a few weeks. If pinching, space plants 6-12 inches apart. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained, moist soil. pH: Neutral soil is preferred.","4-12"".","Annual.","Florets on lower 1/3- 1/2 of the spike are open.",NA,"Antirrhinum majus",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,"12-60"" When grown as a one cut, stems can be as long as the full height of the plants. When grown for multiple cuts per plant, stems vary in length at 12-36"".",NA,"7-10 daysIdeal storage temperature 32-40°F (0-4°C).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cut flower,edible flower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","1267","Snapdragon","Rocket Mix(F1) Snapdragon Seed","7-14 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Light is required for germination, but a fine layer of vermiculite covering the seeds can maintain moisture levels and prevent algae growth. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear, approximately 3-4 weeks after sowing. If desired, for a bushier plant that produces more flower-producing side branches, pinch young plants back by half their height when plants have formed 4-6 leaves or are approximately 3-4 inches tall. Pinching will delay the crop time by a few weeks. If pinching, space plants 6-12 inches apart. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained, moist soil. pH: Neutral soil is preferred.","4-12"".","Annual.","Florets on lower 1/3- 1/2 of the spike are open.",NA,"Antirrhinum majus",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,"12-60"" When grown as a one cut, stems can be as long as the full height of the plants. When grown for multiple cuts per plant, stems vary in length at 12-36"".",NA,"7-10 daysIdeal storage temperature 32-40°F (0-4°C).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cut flower,edible flower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","1940","Snapdragon","Johnny's Potomac Custom Mix(F1) Snapdragon Seed","7-14 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Light is required for germination, but a fine layer of vermiculite covering the seeds can maintain moisture levels and prevent algae growth. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear, approximately 3-4 weeks after sowing. If desired, for a bushier plant that produces more flower-producing side branches, pinch young plants back by half their height when plants have formed 4-6 leaves or are approximately 3-4 inches tall. Pinching will delay the crop time by a few weeks. If pinching, space plants 6-12 inches apart. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained, moist soil. pH: Neutral soil is preferred.","4-12"".","Annual.","Florets on lower 1/3- 1/2 of the spike are open.",NA,"Antirrhinum majus",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,"12-60"" When grown as a one cut, stems can be as long as the full height of the plants. When grown for multiple cuts per plant, stems vary in length at 12-36"".",NA,"7-10 daysIdeal storage temperature 32-40°F (0-4°C).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cut flower,edible flower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","3442","Snapdragon","Costa Apricot(F1) Snapdragon Seed","7-14 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Light is required for germination, but a fine layer of vermiculite covering the seeds can maintain moisture levels and prevent algae growth. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear, approximately 3-4 weeks after sowing. If desired, for a bushier plant that produces more flower-producing side branches, pinch young plants back by half their height when plants have formed 4-6 leaves or are approximately 3-4 inches tall. Pinching will delay the crop time by a few weeks. If pinching, space plants 6-12 inches apart. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained, moist soil. pH: Neutral soil is preferred.","4-12"".","Annual.","Florets on lower 1/3- 1/2 of the spike are open.",NA,"Antirrhinum majus",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,"12-60"" When grown as a one cut, stems can be as long as the full height of the plants. When grown for multiple cuts per plant, stems vary in length at 12-36"".",NA,"7-10 daysIdeal storage temperature 32-40°F (0-4°C).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cut flower,edible flower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","3326","Snapdragon","Madame Butterfly Bronze with White(F1) Snapdragon Seed","7-14 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Light is required for germination, but a fine layer of vermiculite covering the seeds can maintain moisture levels and prevent algae growth. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear, approximately 3-4 weeks after sowing. If desired, for a bushier plant that produces more flower-producing side branches, pinch young plants back by half their height when plants have formed 4-6 leaves or are approximately 3-4 inches tall. Pinching will delay the crop time by a few weeks. If pinching, space plants 6-12 inches apart. Direct seeding is not recommended.","Sun/Part Shade.","Rich, well-drained, moist soil. pH: Neutral soil is preferred.","4-12"".","Annual.","Florets on lower 1/3- 1/2 of the spike are open.",NA,"Antirrhinum majus",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,"12-60"" When grown as a one cut, stems can be as long as the full height of the plants. When grown for multiple cuts per plant, stems vary in length at 12-36"".",NA,"7-10 daysIdeal storage temperature 32-40°F (0-4°C).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cut flower,edible flower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
